"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.541977943128303e-01,7.799272685481418e-01,1.560490843664632e-02,5.113136921060923e+00,-9.097962966401606e-01,-4.410759344379688e-13,1.951691862291170e+00,8.992020388629849e-01,-7.376995787180398e-03,0.000000000000000e+00,1.349587724074317e+00,2.145647008748422e+00,9.819102786116393e-01,5.127870451747871e+00,1,1.274999976158142e-02,5.200999975204468e-01,1.274999976158142e-02,5.000000000000000e-01
6.543057864912513e-01,7.745702316187850e-01,1.560490843664632e-02,5.021189490924865e+00,-9.245622138485918e-01,-4.383257024361397e-13,1.951494680572058e+00,8.993246905427428e-01,-7.528842531475764e-03,0.000000000000000e+00,1.349512923402633e+00,2.146142590622365e+00,9.819102786116396e-01,5.127719646970839e+00,1,1.300000026822090e-02,5.200999975204468e-01,1.300000026822090e-02,5.000000000000000e-01
6.544137782673709e-01,7.692132146459054e-01,1.560490843664632e-02,4.929242403318980e+00,-9.393280760498064e-01,-4.355754806797020e-13,1.951297499587504e+00,8.994473417655883e-01,-7.680688710099077e-03,0.000000000000000e+00,1.349438123009602e+00,2.146638170650124e+00,9.819102786116396e-01,5.127568842755595e+00,1,1.324999984353781e-02,5.200999975204468e-01,1.324999984353781e-02,5.000000000000000e-01
6.545217704457917e-01,7.638561777165485e-01,1.560490843664632e-02,4.837294973182921e+00,-9.540939932582376e-01,-4.328252486778727e-13,1.951100317868391e+00,8.995699934453461e-01,-7.832535454394444e-03,0.000000000000000e+00,1.349363322337918e+00,2.147133752524066e+00,9.819102786116397e-01,5.127418037978561e+00,1,1.350000035017729e-02,5.200999975204468e-01,1.350000035017729e-02,5.000000000000000e-01
6.546297622219114e-01,7.584991607436687e-01,1.560490843664632e-02,4.745347885577036e+00,-9.688598554594522e-01,-4.300750269214351e-13,1.950903136883837e+00,8.996926446681917e-01,-7.984381633017757e-03,0.000000000000000e+00,1.349288521944887e+00,2.147629332551825e+00,9.819102786116398e-01,5.127267233763318e+00,1,1.374999992549419e-02,5.200999975204468e-01,1.374999992549419e-02,5.000000000000000e-01
6.547377544003326e-01,7.531421238143120e-01,1.560490843664632e-02,4.653400455440979e+00,-9.836257726678833e-01,-4.273247949196059e-13,1.950705955164725e+00,8.998152963479495e-01,-8.136228377313127e-03,0.000000000000000e+00,1.349213721273204e+00,2.148124914425767e+00,9.819102786116400e-01,5.127116428986286e+00,1,1.400000043213367e-02,5.200999975204468e-01,1.400000043213367e-02,5.000000000000000e-01
6.548457461764521e-01,7.477851068414324e-01,1.560490843664632e-02,4.561453367835095e+00,-9.983916348690980e-01,-4.245745731631684e-13,1.950508774180169e+00,8.999379475707951e-01,-8.288074555936435e-03,0.000000000000000e+00,1.349138920880173e+00,2.148620494453526e+00,9.819102786116403e-01,5.126965624771041e+00,1,1.425000000745058e-02,5.200999975204468e-01,1.425000000745058e-02,5.000000000000000e-01
6.549582894890805e-01,7.413560377416470e-01,1.560490843664632e-02,4.462806295629671e+00,-1.012079800061376e+00,-4.217061685978093e-13,1.950303853552926e+00,9.000657258859276e-01,-8.442578636013651e-03,0.000000000000000e+00,1.349061203653310e+00,2.149118608674627e+00,9.769608836406554e-01,5.126809398852832e+00,1,1.449999958276749e-02,5.200999975204468e-01,1.449999958276749e-02,5.000000000000000e-01
6.551071193661209e-01,7.263802398560392e-01,1.560490843664632e-02,4.310744670804493e+00,-1.017176308803497e+00,-4.178955663398144e-13,1.950037229526824e+00,9.002343793167857e-01,-8.618272838925368e-03,0.000000000000000e+00,1.348960232307014e+00,2.149636928062034e+00,9.325534841226533e-01,5.126609948992691e+00,1,1.475000008940697e-02,5.200999975204468e-01,1.475000008940697e-02,5.000000000000000e-01
6.552559486887277e-01,7.114044977595246e-01,1.560490843664632e-02,4.158683612451956e+00,-1.022272798559695e+00,-4.140849782774207e-13,1.949770606493972e+00,9.004030321193620e-01,-8.793966387326411e-03,0.000000000000000e+00,1.348859261336865e+00,2.150155245518585e+00,8.881462500347901e-01,5.126410499875555e+00,1,1.499999966472387e-02,5.200999975204468e-01,1.499999966472387e-02,5.000000000000000e-01
6.554047785657680e-01,6.964286998739175e-01,1.560490843664632e-02,4.006621987626788e+00,-1.027369307301815e+00,-4.102743760194264e-13,1.949503982467870e+00,9.005716855502200e-01,-8.969660590238130e-03,0.000000000000000e+00,1.348758289990569e+00,2.150673564905992e+00,8.437388505167910e-01,5.126211050015414e+00,1,1.525000017136335e-02,5.200999975204468e-01,1.525000017136335e-02,5.000000000000000e-01
6.555536078883748e-01,6.814529577774147e-01,1.560490843664632e-02,3.854560929274334e+00,-1.032465797058027e+00,-4.064637879570623e-13,1.949237359435017e+00,9.007403383527963e-01,-9.145354138639077e-03,0.000000000000000e+00,1.348657319020420e+00,2.151191882362574e+00,7.993316164289451e-01,5.126011600898277e+00,1,1.549999974668026e-02,5.200999975204468e-01,1.549999974668026e-02,5.000000000000000e-01
6.557024377654149e-01,6.664771598918191e-01,1.560490843664632e-02,3.702499304449253e+00,-1.037562305800161e+00,-4.026531856990977e-13,1.948970735408915e+00,9.009089917836542e-01,-9.321048341550701e-03,0.000000000000000e+00,1.348556347674124e+00,2.151710201750011e+00,7.549242169109638e-01,5.125812151038136e+00,1,1.575000025331974e-02,5.200999975204468e-01,1.575000025331974e-02,5.000000000000000e-01
