iter4 log_res CL CD CM
361 -5.436358 0.1472564 1.9410968 -1.9536074
362 -5.436277 0.14692558 1.9396596 -1.9486936
363 -5.436276 0.14660662 1.9382888 -1.9439618
364 -5.43643 0.14630146 1.9369822 -1.939436
365 -5.436635 0.14601194 1.935737 -1.935139
366 -5.436867 0.14573972 1.93455 -1.9310906
367 -5.437125 0.14548626 1.933418 -1.9273088
368 -5.437423 0.14525284 1.9323372 -1.9238084
369 -5.437786 0.14504054 1.9313038 -1.9206012
370 -5.438243 0.14485018 1.9303136 -1.9176968
371 -5.438825 0.1446824 1.9293624 -1.9151012
372 -5.439565 0.14453764 1.928446 -1.912818
373 -5.440482 0.14441608 1.9275596 -1.910848
374 -5.441596 0.14431776 1.9266988 -1.9091896
375 -5.44292 0.14424252 1.9258594 -1.9078388
376 -5.444478 0.14419004 1.9250364 -1.9067894
377 -5.44639 0.14415984 1.9242258 -1.9060334
378 -5.448541 0.14415128 1.9234232 -1.905561
379 -5.45065 0.14416366 1.9226244 -1.9053606
380 -5.452665 0.14419612 1.9218252 -1.9054198
381 -5.454538 0.14424772 1.921022 -1.9057246
382 -5.456228 0.14431744 1.9202108 -1.9062602
383 -5.4577 0.14440418 1.9193886 -1.9070112
384 -5.458931 0.14450678 1.918552 -1.907961
385 -5.459905 0.14462406 1.917698 -1.909093
386 -5.460613 0.14475478 1.9168238 -1.9103902
387 -5.461055 0.1448977 1.9159272 -1.9118352
388 -5.461234 0.14505154 1.915006 -1.913411
389 -5.461159 0.14521506 1.9140582 -1.9151002
390 -5.460844 0.14538702 1.9130824 -1.9168864
391 -5.460304 0.14556622 1.912077 -1.9187532
392 -5.459565 0.14575148 1.911041 -1.9206856
393 -5.458659 0.1459417 1.9099736 -1.9226686
394 -5.457629 0.14613588 1.9088742 -1.9246888
395 -5.45652 0.14633306 1.9077426 -1.9267336
396 -5.455381 0.14653238 1.9065782 -1.9287922
397 -5.454263 0.14673306 1.9053816 -1.9308546
398 -5.453211 0.14693446 1.9041524 -1.9329124
399 -5.452264 0.14713602 1.9028914 -1.9349586
400 -5.451444 0.1473373 1.901599 -1.9369874
401 -5.450757 0.14753792 1.9002758 -1.9389946
402 -5.45019 0.14773762 1.8989224 -1.9409772
403 -5.449716 0.14793622 1.8975396 -1.942933
404 -5.449297 0.1481336 1.8961284 -1.9448606
405 -5.448887 0.14832966 1.8946898 -1.9467596
406 -5.448444 0.14852438 1.8932246 -1.9486298
407 -5.447933 0.1487177 1.8917338 -1.9504712
408 -5.447333 0.14890958 1.8902186 -1.9522832
409 -5.446635 0.14909992 1.88868 -1.9540658
410 -5.445846 0.14928864 1.887119 -1.9558176
411 -5.44499 0.14947554 1.885537 -1.9575368
412 -5.444097 0.14966036 1.8839348 -1.9592208
413 -5.443204 0.14984278 1.882314 -1.9608656
414 -5.442348 0.15002236 1.8806754 -1.9624664
415 -5.441561 0.15019862 1.8790206 -1.9640172
416 -5.440868 0.15037096 1.8773506 -1.9655108
417 -5.440286 0.1505387 1.8756668 -1.9669392
418 -5.439822 0.15070112 1.8739706 -1.9682934
419 -5.439474 0.1508574 1.8722632 -1.9695638
420 -5.439344 0.15100672 1.8705462 -1.97074
421 -5.439583 0.15114822 1.8688208 -1.9718114
422 -5.440076 0.15128102 1.8670888 -1.9727678
423 -5.440775 0.15140424 1.8653514 -1.9735982
424 -5.441643 0.1515171 1.8636102 -1.9742928
425 -5.442648 0.15161876 1.8618668 -1.9748422
426 -5.443764 0.15170854 1.860123 -1.9752376
427 -5.444958 0.15178576 1.8583802 -1.9754714
428 -5.446209 0.1518499 1.8566402 -1.9755374
429 -5.44749 0.1519005 1.8549044 -1.9754302
430 -5.448781 0.15193724 1.8531748 -1.9751466
431 -5.450063 0.15195984 1.8514528 -1.9746838
432 -5.45132 0.15196826 1.8497402 -1.9740416
433 -5.452549 0.15196246 1.8480384 -1.9732206
434 -5.453763 0.1519426 1.846349 -1.9722232
435 -5.455005 0.1519089 1.8446736 -1.9710532
436 -5.456447 0.1518617 1.8430136 -1.9697154
437 -5.457929 0.15180146 1.8413704 -1.9682166
438 -5.459259 0.1517287 1.8397454 -1.9665638
439 -5.460448 0.15164404 1.8381398 -1.9647654
440 -5.461516 0.15154814 1.8365546 -1.962831
441 -5.462482 0.15144176 1.8349912 -1.9607704
442 -5.463363 0.15132564 1.8334502 -1.958594
443 -5.464163 0.15120064 1.8319326 -1.9563128
444 -5.464876 0.15106756 1.8304394 -1.953938
445 -5.465479 0.1509273 1.8289712 -1.9514812
446 -5.465941 0.1507807 1.8275286 -1.9489536
447 -5.466226 0.15062864 1.8261122 -1.946367
448 -5.466298 0.150472 1.8247224 -1.9437326
449 -5.466127 0.1503116 1.8233594 -1.9410614
450 -5.465699 0.15014828 1.8220236 -1.9383646
451 -5.465015 0.14998288 1.8207154 -1.9356528
452 -5.46409 0.1498162 1.8194348 -1.9329362
453 -5.46296 0.149649 1.818182 -1.9302254
454 -5.461673 0.14948204 1.8169566 -1.9275298
455 -5.460282 0.1493161 1.815759 -1.9248592
456 -5.45884 0.14915184 1.814589 -1.9222226
457 -5.457398 0.14899 1.8134464 -1.9196294
458 -5.455995 0.14883126 1.812331 -1.9170878
459 -5.454665 0.14867626 1.8112426 -1.9146068
460 -5.453428 0.1485257 1.8101808 -1.9121946
461 -5.452301 0.1483802 1.8091452 -1.9098594
462 -5.45129 0.14824038 1.8081354 -1.9076092
463 -5.450399 0.1481069 1.8071512 -1.9054518
464 -5.449627 0.14798034 1.8061916 -1.9033952
465 -5.448969 0.14786132 1.8052566 -1.9014466
466 -5.448415 0.14775046 1.804345 -1.899614
467 -5.447954 0.14764832 1.8034566 -1.8979042
468 -5.447568 0.14755552 1.8025902 -1.8963248
469 -5.447241 0.14747258 1.8017454 -1.8948824
470 -5.446952 0.14740008 1.8009208 -1.8935842
471 -5.446678 0.14733854 1.800116 -1.8924362
472 -5.446396 0.1472885 1.7993294 -1.891445
473 -5.446086 0.14725042 1.7985602 -1.8906162
474 -5.445729 0.14722476 1.7978072 -1.8899552
475 -5.44533 0.14721196 1.797069 -1.889467
476 -5.445063 0.14721238 1.7963444 -1.8891558
477 -5.445005 0.14722638 1.7956318 -1.8890254
478 -5.445081 0.14725422 1.7949298 -1.8890786
479 -5.445285 0.14729612 1.7942368 -1.8893178
480 -5.445629 0.14735224 1.7935512 -1.889744
481 -5.446129 0.1474227 1.7928712 -1.890358
482 -5.446804 0.14750746 1.7921952 -1.891159
483 -5.447664 0.1476065 1.7915212 -1.8921454
484 -5.448714 0.14771966 1.7908476 -1.8933144
485 -5.449947 0.1478467 1.7901724 -1.8946622
486 -5.451339 0.14798728 1.7894936 -1.8961836
487 -5.452857 0.14814098 1.7888096 -1.8978724
488 -5.454459 0.1483073 1.7881184 -1.899721
489 -5.456095 0.14848564 1.787418 -1.901721
490 -5.457725 0.14867526 1.7867066 -1.903862
491 -5.459315 0.14887538 1.7859824 -1.9061332
492 -5.460858 0.14908514 1.7852438 -1.9085226
493 -5.462402 0.14930356 1.784489 -1.9110166
494 -5.464105 0.14952958 1.7837162 -1.913601
495 -5.465585 0.1497621 1.7829242 -1.916261
496 -5.466778 0.14999992 1.7821114 -1.91898
497 -5.467693 0.15024178 1.7812766 -1.9217418
498 -5.46835 0.15048638 1.7804184 -1.9245286
499 -5.468771 0.1507324 1.779536 -1.927323
500 -5.468979 0.15097846 1.7786284 -1.9301064
501 -5.468996 0.15122312 1.7776948 -1.9328606
502 -5.468844 0.151465 1.7767346 -1.935567
503 -5.468544 0.1517027 1.7757476 -1.938207
504 -5.468115 0.15193476 1.7747334 -1.9407624
505 -5.467577 0.15215984 1.7736918 -1.9432152
506 -5.46695 0.15237654 1.7726232 -1.9455478
507 -5.466247 0.15258356 1.7715278 -1.9477434
508 -5.465484 0.15277964 1.770406 -1.9497856
509 -5.464669 0.15296356 1.7692588 -1.9516592
510 -5.46381 0.1531342 1.7680866 -1.95335
511 -5.462908 0.15329046 1.7668908 -1.9548444
512 -5.46196 0.1534314 1.7656726 -1.9561308
513 -5.460958 0.15355614 1.7644332 -1.9571982
514 -5.459897 0.15366388 1.7631744 -1.958037
515 -5.458771 0.15375396 1.7618978 -1.9586398
516 -5.457581 0.15382582 1.7606054 -1.9589998
517 -5.456335 0.15387904 1.759299 -1.9591124
518 -5.455048 0.15391328 1.7579808 -1.9589744
519 -5.453743 0.15392834 1.756653 -1.9585842
520 -5.452448 0.15392416 1.755318 -1.9579418
521 -5.451199 0.1539008 1.7539782 -1.9570492
522 -5.450031 0.15385842 1.752636 -1.9559098
523 -5.44898 0.15379738 1.751294 -1.9545286
524 -5.448074 0.15371808 1.7499546 -1.9529128
525 -5.447333 0.15362112 1.7486208 -1.9510708
526 -5.446765 0.15350714 1.7472946 -1.9490124
527 -5.446367 0.153377 1.745979 -1.946749
528 -5.446121 0.15323158 1.7446762 -1.9442942
529 -5.446022 0.15307192 1.7433888 -1.9416618
530 -5.446128 0.15289916 1.7421192 -1.938868
531 -5.446572 0.15271454 1.7408696 -1.9359292
532 -5.447214 0.15251936 1.7396422 -1.932864
533 -5.447977 0.15231504 1.738439 -1.929691
534 -5.448814 0.15210302 1.7372622 -1.9264302
535 -5.449689 0.15188486 1.7361134 -1.9231024
536 -5.450585 0.15166214 1.734994 -1.9197286
537 -5.45149 0.15143648 1.7339058 -1.9163304
538 -5.452401 0.15120954 1.7328498 -1.9129298
539 -5.453319 0.15098298 1.731827 -1.9095488
